source,target
"rimouski | climate , economy , municipal council , history",What do you want to know about the place?
"dorset county museum | building , gallery , museum",What do you want to know about the architecture?
"international facility management association | components , credentialing programs , events , ifma foundation",What do you want to know about the organization?
"mmll | mcdowell mountain little league , mizo mobile legends league , most minimal linux logger","Which ""mmll"" do you mean?"
"descartes systems group | awards , conference , history",What do you want to know about the company?
"mgw | mercer general works , media gateway","Which ""mgw"" do you mean?"
"pif | presidential innovation fellows , public investment fund , purpose of investing funds","Which ""pif"" do you mean?"
"what is cla | conjugated linoleic acid , cannabis licensing authority","Which ""cla"" do you mean?"
"ihpi | institute for healthcare policy and innovation , international health protection initiative , improved high power illuminator","Which ""ihpi"" do you mean?"
"bau meaning | behavioral analysis unit , business as usual , backward adaptive update","Which ""bau"" do you mean?"
"flag of guatemala | flag of guatemala pictures , flag of guatemala facts , flag of guatemala meaning",What would you like to know about flag of guatemala?
"kiruna | things to do in kiruna , kiruna weather , what time is it in kiruna",What would you like to know about kiruna?
"microsoft visual c++ 2010 redistributable package | x32 , x64 , x86",What architecture are you looking for?
"iparc | international police association radio club , international pesticide application research consortium , interventional pain and recovery center","Which ""iparc"" do you mean?"
"joe somebody | plot , production , release",What do you want to know about the film?
"smicklas chevrolet | local map , business information",What do you want to know about this business?
"a ray of hope | a ray of hope chords , a ray of hope lyrics",What song information are you looking for?
"lynnes hyundai | shops photo , local map , services , business information",What do you want to know about this business?
"ccdd | clean construction or demolition debris , celebration community development district","Which ""ccdd"" do you mean?"
"microsoft office outlook 2007 | download , update",What are you trying to do?
"uks | unge kunstneres samfund , universal knowledge solutions , universal knowledge software","Which ""uks"" do you mean?"
"sartell pediatrics | specialty , pediatrics , pediatric nursing nurse practitioner , provider",What do you want to know about sartell pediatrics?
"hinshaw & culbertson llp | offices , history",What do you want to know about hinshaw & culbertson llp?
"atlanta pride | events , location , history",What do you want to know about the event?
"libertybus | avanchicard , fleet , history",What do you want to know about libertybus?
"brl | ballistic research laboratory , biomedical research laboratories , benelux racing league","Which ""brl"" do you mean?"
"pulmonary alveolar proteinosis | differential diagnosis , follow-up , overview , medication , presentation",What do you want to know about this condition?
"disr | defense information standards registry , disabling injury severity rate , department of insurance and securities regulation","Which ""disr"" do you mean?"
"fender precision bass | fender precision bass for sale , fender precision bass history , fender precision bass reviews",What would you like to know about fender precision bass?
"dillsboro north carolina | zip code , homes for sale , population , things to do",What would you like to know about this city?
"wilderness scotland | history , business awards , holidays",What do you want to know about the company?
"ashton on mersey school | academia , awards , notable alumni",What do you want to know about the school?
"ldt | laboratory developed tests , left defensive tackle , lightning data transport","Which ""ldt"" do you mean?"
"no more dream | no more dream lyrics , no more dream chords",What song information are you looking for?
"corpus christi army depot | corpus christi army depot jobs , corpus christi army depot zip code",What would you like to know about this place?
"cdra | character data representation architecture , community development resource association , central drag racing association","Which ""cdra"" do you mean?"
"cream separator | cream separator for sale , cream separator images , cream separator history",What would you like to know about cream separator?
"title town | title town football , title town softball",What sport are you looking for?
"north country hospital | specialty , hematology , provider",What do you want to know about north country hospital?
"canalith repositioning maneuvers | overview , contraindications , rationale , overview , rationale",What do you want to know about this procedure?
"asops | administrative services online pay statements , actuarial standard of practice section","Which ""asops"" do you mean?"
"sdz | surface danger zone , san diego zoo , science discovery zone","Which ""sdz"" do you mean?"
"office of registrar | psu , umd",What college are you looking for?
"mvdb | motor vehicle dealer board , music video database , moutinho van der bank","Which ""mvdb"" do you mean?"
"gong band | gong band music , gong band discography , gong band members",What would you like to know about this band?
"narr | national alliance for recovery residences , national association of railroad referees","Which ""narr"" do you mean?"
"pumping station | bodybuilding , weight training",What sport are you looking for?
"ewg | environmental working group , expert working group , extreme weapons grease","Which ""ewg"" do you mean?"
"bsnc | bering straits native corporation , british showjumping national championships , bachelor of science in nursing completion","Which ""bsnc"" do you mean?"
"dayton nevada | zip code , homes for sale , population , weather , what time is it",What would you like to know about this city?
"sepg | software engineering process group , student education planning guide , sangreal executive protection group","Which ""sepg"" do you mean?"
"go az motorcycles | local map , go az motorcycles hours , services , business information",What do you want to know about this business?
"chba | certified in hospitality business acumen , consumer health benefits association","Which ""chba"" do you mean?"
"wdfg | world duty free group , women destined for greatness","Which ""wdfg"" do you mean?"
"lincoln county ky | history , map , population",What would you like to know about lincoln county ky?
"mouth ulcers | treat mouth ulcers , prevent mouth ulcers",What do you want to do with mouth ulcers?
"degree sign in word | word 2007 , word 2010 , word 2013 , word 2016",What version of Word are you looking for?
"oghf | old gits having fun , oerhollands gezellig house feestje , old glory honor flight","Which ""oghf"" do you mean?"
"cellnetix | methods , technology , history",What do you want to know about the organization?
"qfe | quick fix engineering , question for everyone , quest for education","Which ""qfe"" do you mean?"
"winter bulletin board ideas | elementary , high school",What kind of school are you looking for?
"claw toe | treatment , overview , presentation , workup",What do you want to know about this condition?
"what is my google account | password , username",What information are you looking for?
"red lake mn | weather , red lake mn zip code , red lake mn population",What would you like to know about this city?
"ouo | one up offroad , official use only , omicron upsilon omega","Which ""ouo"" do you mean?"
"ppls | pesticide product label system , professional parking lot services , policy and procedure letters","Which ""ppls"" do you mean?"
"cple | credit for prior learning and experience , center for police leadership and ethics","Which ""cple"" do you mean?"
"sigs | specialists in general surgery , scales for identifying gifted students , security in the government sector","Which ""sigs"" do you mean?"
"town center virginia beach | town center virginia beach hotel , events , town center virginia beach parking",What would you like to know about town center virginia beach?
"imcp | investing in manufacturing communities partnership , internal market and consumer protection , indonesia multi colour printing","Which ""imcp"" do you mean?"
"ubt | unincorporated business tax , united business technologies , universal business team","Which ""ubt"" do you mean?"
"dr dog | dr. dog tour , dr. dog tour , dr. dog bandcamp , dr. dog genre , dr. dog genre",What would you like to know about this band?
"homocystinuria | symptom , causes , causes , diagnosis , diet",What do you want to know about this medical condition?
"hrp | human resource and payroll , hepfner racing products , hoerr racing products","Which ""hrp"" do you mean?"
"romans 2 12 | esv , kjv , niv",What Bible translation are you looking for?
"duke's mayo | calories , ingredients",What food information are you looking for?
"frosty returns | cast , episodes , dvd",What would you like to know about this movie?
"peridex mouthwash | uses , uses , precautions , interactions , overdose",What do you want to know about this medication?
"no man's sky wallpaper | 4k , hd",What resolution are you looking for?
"happy fish | biography , filmography",What do you want to know about this person?
"dreamscape 1984 | dreamscape 1984 cast , dreamscape 1984 trailer , dreamscape 1984 review",What would you like to know about this movie?
"corporation search | find corporation search , report corporation search",What do you want to do with corporation search?
"kievan rus | ' flag , ' language , ' ruler",What would you like to know about this country?
"ndf | non-deliverable forward , national digital forum , nordic development fund","Which ""ndf"" do you mean?"
"cellophane noodles | nutrition , korean cellophane noodles , where to buy",What would you like to know about this food?
"tcip | transit communications interface profiles , thermal custom international packaging , tetragon credit income partners","Which ""tcip"" do you mean?"
"mng | mcmullen nolan group , multiple network graphics , meet n greet","Which ""mng"" do you mean?"
"intel usb 3.0 extensible host controller | windows 10 , windows 7 , windows 8",What version of Windows are you looking for?
"fhn | first horizon national , family health network , foothills housing network","Which ""fhn"" do you mean?"
"neuropsychological evaluation | information obtained from neuropsychological reports , information obtained from neuropsychological reports , overview , overview , major domains of neuropsychological functioning",What do you want to know about this condition?
"fef | foundry educational foundation , forced expiratory flow","Which ""fef"" do you mean?"
"edlp | every day low price , extended day learning program , economic development leadership program","Which ""edlp"" do you mean?"
"treaty of greenville | treaty of greenville results , treaty of greenville map",What would you like to know about treaty of greenville?
"maribor | what time is it in maribor , maribor zip code , maribor weather , things to do in maribor",What would you like to know about maribor?
"kino's storytime | dvd , vhs",What format are you looking for?
"what is toc | the orthopaedic center , total organic carbon , table of contents","Which ""toc"" do you mean?"
"jji | juvenile justice initiative , jiu jitsu international","Which ""jji"" do you mean?"
"tietze's syndrome | causes , treatment",What do you want to know about this condition?
"oslt | oil spill liability trust , ormond scenic loop and trail , occupation specific language training","Which ""oslt"" do you mean?"
"bendigo art gallery | building , collection , logo",What do you want to know about the building?
"care workers | job description , care workers salary",What job information are you looking for?
"elmo's magic cookbook | dvd , vhs",What format are you looking for?
"office of naval research | gallery , locations , research",What do you want to know about the military unit?
"how to build an outdoor pizza oven | tools , begin to brick the fireplace , begin to brick the fireplace , attach the arches , add the top of the oven",What do you want to know more about?
"cror | center for rehabilitation outcomes research , compounded rate of return","Which ""cror"" do you mean?"
"aedt | aviation environmental design tool , advanced explosives disposal techniques","Which ""aedt"" do you mean?"
"kitto | sushi rolls , sushi rolls , gyoza , tempura , tempura",What do you want to know about this restaurant?
"eace | eastern association of colleges and employers , east african certificate of education","Which ""eace"" do you mean?"
"siis | state immunization information system , subsea instrumentation interface standardisation , state industrial insurance system","Which ""siis"" do you mean?"
"how many chapters are in the bible | kjv , niv",Which Bible translation are you looking for?
"belmont secondary school | academies , athletics , music",What do you want to know about the school?
"eara | eastern airlines retirees association , elmsleigh avenue residents association","Which ""eara"" do you mean?"
"cfsi | center for financial services innovation , community and family services international","Which ""cfsi"" do you mean?"
"find your phone | find your phone android , iphone",Which device are you looking for?
"egsa | electrical generating systems association , entomology graduate student association , educational guidance service for adults","Which ""egsa"" do you mean?"
"what is ftd | accounting , legal",What field are you looking for?
"dublin california | map , weather , population , zip , zip",What would you like to know about this city?
"nepa auto auction | shops photo , local map , services , business information",What do you want to know about this business?
"obot | office based opioid treatment , online bid operator tool","Which ""obot"" do you mean?"
"amhp | approved mental health professional , advanced medical home physicians","Which ""amhp"" do you mean?"
"toaru kagaku no railgun | characters , episodes",What show information are you looking for?
"yohimbe bark | uses , uses , overdose , overdose , precautions",What do you want to know about this medication?
"psalm 34:15 | esv , kjv , niv , nlt",What Bible translation are you looking for?
"omni health services | provider , specialty , emergency medicine",What do you want to know about omni health services?
"thornville ohio | zip code , homes for sale , news",What would you like to know about this city?
"accounting technicians ireland | membership structure , professional standards , history",What do you want to know about the organisation?
"msdo | multidisciplinary system design optimization , municipal service delivery organzation , micrographic surgery and dermatologic oncology","Which ""msdo"" do you mean?"
"apli | automated pipe line instruments , association professional liability insurance , advanced pedestrian legform impactor","Which ""apli"" do you mean?"
"ieg | independent evaluation group , improvised explosive goat , institute of economic growth","Which ""ieg"" do you mean?"
"edge pdf reader | code , download , install",What are you trying to do?
"cecfc | cecfc high school , cecfc middle school",What school are you looking for?
"nemba | points of interest , population , location",What do you want to know about the place?
"c34 | manual , specifications",What product information are you looking for?
"adams county wisconsin | adams county wisconsin jobs , adams county wisconsin homes for sale , adams county wisconsin news",What would you like to know about this place?
"restart windows | restart windows 10 , restart windows 8 , restart windows 7 , vista",What version of Windows are you looking for?
"iiep | international institute for educational planning , international industrial ecology professionals","Which ""iiep"" do you mean?"
"ralph's italian ice | calories , ingredients",What food information are you looking for?
"you are wonderful | lyrics , chords",What song information are you looking for?
"piea | photo imaging education association , planned industrial expansion authority , petroleum institute of east africa","Which ""piea"" do you mean?"
"cahir | amenities , education , image gallery , location",What do you want to know about the village?
"meee | mechanical electrical electronics engineers , middle east and eastern europe","Which ""meee"" do you mean?"
"wikileaf | use , business model , background",What do you want to know about wikileaf?
"laurel, mississippi | education , geography , infrastructure",What do you want to know about the city?
"madison county montana | madison county montana population , madison county montana jobs , madison county montana news",What would you like to know about madison county montana?
"creating a distribution list in outlook | outlook 2007 , creating a distribution list in outlook 2010 , outlook 2013 , outlook 2016",What version of Outlook are you looking for?
"seven hills ohio | seven hills ohio zip code , homes for sale seven hills ohio , seven hills ohio news",What would you like to know about this city?
"1972 cadillac | limousine , station wagon",What car are you looking for?
"inws | intermittent no work scheduled , interagency noxious weed symposium , innovations of the national weather service","Which ""inws"" do you mean?"
"flag of uruguay | flag of uruguay meaning , flag of uruguay pictures , flag of uruguay facts",What would you like to know about flag of uruguay?
"illinois central college | illinois central college jobs , illinois central college transcripts , illinois central college tuition",What would you like to know about this university?
"storage pool | windows 10 , windows 7 , windows 8 , windows vista",What version of Windows are you looking for?
"cmhp | charlotte-mecklenburg housing partnership , certified mental health professional","Which ""cmhp"" do you mean?"
"coaa | carousel organ association of america , coordinator of academic accessibility","Which ""coaa"" do you mean?"
"otif | on time in full , open tool integration framework","Which ""otif"" do you mean?"
"chicken on a raft | chords , lyrics",What song information are you looking for?
"top baby names 2019 | girl , boy",Which gender is this for?
"greenwood auto sales | shops photo , local map , services , business information",What do you want to know about this business?
"ndoh | nation division of health , national department of health , next date of hearing","Which ""ndoh"" do you mean?"
"lakeshore dental | specialty , dentistry , provider",What do you want to know about lakeshore dental?
"what does foh mean | front of the house , federal occupational health , friends of hoop","Which ""foh"" do you mean?"
"psci | pharmaceutical supply chain initiative , parallel and scientific computing institute , plans supplier conferences in india","Which ""psci"" do you mean?"
"cjj | coalition for juvenile justice , caique jiu jitsu","Which ""cjj"" do you mean?"
"line for pc | line for pc windows 10 , line for pc windows 7 , line for pc windows 8 , line for pc windows xp , windows xp",What version of Windows are you looking for?
"ybt | youth bowlers tour , yale budgeting tool","Which ""ybt"" do you mean?"
"wrh | what really happened , working ranch horse , western reserve hospital","Which ""wrh"" do you mean?"
"ttnt | tactical targeting network technology , truck toys n tops , ty tnhh nội thất","Which ""ttnt"" do you mean?"
"basp | brain acid soluble protein , broadcom advanced server program , brigidine asylum seekers project","Which ""basp"" do you mean?"
"hemlock farms community association | amenities , infrastructure , lords valley country club , history",What do you want to know about the place?
"terminal for windows | terminal for windows 10 , terminal for windows 8 , terminal for windows 7 , windows vista",What version of Windows are you looking for?
"rndc | region nine development commission , renasissance neighborhood development corporation","Which ""rndc"" do you mean?"
"gateway motors | business information , local map , services , shops photo",What do you want to know about this business?
"mnrf | ministry of natural resources and forestry , major national research facility , medical necessity review forms","Which ""mnrf"" do you mean?"
"tab stops in word | word 2007 , tab stops in word 2010 , word 2013 , tab stops in word 2016",What version of Word are you looking for?
"hundred thousand | dollars , yen",What currency are you looking for?
"cifp | coded instrument flight procedures , country indicators for foreign policy","Which ""cifp"" do you mean?"
"lsar | logistic support analysis record , life savers animal rescue","Which ""lsar"" do you mean?"
"pted | posttraumatic embitterment disorder , professional tool and equipment distributor , practice in the emergency department","Which ""pted"" do you mean?"
"holly springs high school | holly springs high school athletics , football , holly springs high school ranking",What would you like to know about holly springs high school?
"pht | primary heat transport , public health trust , power home technologies","Which ""pht"" do you mean?"
"cfsp | common foreign and security policy , certified food safety professional","Which ""cfsp"" do you mean?"
"ivla | international virtual learning academy , international visual literacy association","Which ""ivla"" do you mean?"
"mnrs | midwest nursing research society , master of natural resources","Which ""mnrs"" do you mean?"
"how to determine which version of windows | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"plague inc strategy | plague inc strategy bacteria , parasite , plague inc strategy virus",What organism are you looking for?
"qars | query and reporting system , quality auto registration service , quick attach rail sections","Which ""qars"" do you mean?"
"minecraft instant structures mod | download , update",What are you trying to do?
"mece | mutually exclusive and collectively exhaustive , methodist early childhood edition , mechanical engineering congress and exposition","Which ""mece"" do you mean?"
"talen energy | talen energy stock , talen energy jobs",What would you like to know about talen energy?
"ntro | national technical research organisation , national trade register office","Which ""ntro"" do you mean?"
"40 days and 40 nights | 40 days and 40 nights cast , 40 days and 40 nights trailer , 40 days and 40 nights soundtrack",What would you like to know about this movie?
"idaho urologic institute | nampa , office providers , our locations",What do you want to know about idaho urologic institute?
"gqw | great qin warriors , granite and quartz wholesale","Which ""gqw"" do you mean?"
"esf | emergency support function , environmental science and forestry , english schools foundation","Which ""esf"" do you mean?"
"ppoa | physician partners of america , professional peace officers association , public procurement oversight authority","Which ""ppoa"" do you mean?"
"sparkling image car wash | local map , sparkling image car wash hours , services , business information",What do you want to know about this business?
"atlantica online | atlantica online review , atlantica online gameplay , atlantica online steam",What would you like to know about this game?
"clipstone | clipstone camp , clipstone colliery , clipstone riot 1767 , general description , king john's palace",What do you want to know about the village?
"fdps | frequency domain packet scheduling , flight data processing system , francisco disco preservation society","Which ""fdps"" do you mean?"
"ntsi | national traffic safety institute , national transportation services inc","Which ""ntsi"" do you mean?"
"aplasia cutis congenita | prognosis , cause , living with , research , symptoms",What do you want to know about this condition?
"ccecc | china civil engineering construction corporation , center for community engagement and career competitiveness","Which ""ccecc"" do you mean?"
"kuf | knowledge and understanding framework , kieweg und freiermuth","Which ""kuf"" do you mean?"
"nmes | neuromuscular electrical stimulation , northern mill engine society , national malaria eradication service","Which ""nmes"" do you mean?"
"pcsi | professional contract services inc , program collaboration and service integration , pakistan cotton standard institute","Which ""pcsi"" do you mean?"
"atpa | automobile theft prevention authority , andean trade preference act , associated third party administrators","Which ""atpa"" do you mean?"
"septum piercing | types of septum piercing , septum piercing history",What would you like to know about septum piercing?
"speedfan download | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"sanger california | zip code , homes for sale , weather , population",What would you like to know about this city?
"transient lingual papillitis | causes , treatment",What do you want to know about this condition?
"alpen rose | characters , manga , summary",What do you want to know about the comic?
"hef | home education foundation , higher education forum , hazardous equipment or facilities","Which ""hef"" do you mean?"
"rsso | remedy single sign on , reverse sequence specific oligonucleotide , reverse sequence specific oligonucleotide , revolution summer season opener , revolution summer season opener","Which ""rsso"" do you mean?"
"mmcp | medicare medicaid coordinated plan , mouse mast cell protease","Which ""mmcp"" do you mean?"
"ukba | uk border agency , uk bribery act , uk business advisors","Which ""ukba"" do you mean?"
"aquarium of the bay | aquarium of the bay coupons , aquarium of the bay jobs , aquarium of the bay parking",What would you like to know about this place?
"twes | tax web enabled system , training work experience scheme","Which ""twes"" do you mean?"
"special needs trust | set up a special needs trust , fund a special needs trust",What do you want to do with a special needs trust?
"clatterbridge | geography , transport , economy",What do you want to know about the village?
"anak ng pasig | anak ng pasig lyrics , anak ng pasig chords",What song information are you looking for?
"gmao | global modeling and assimilation office , great manga application onidzuka , good morning america online","Which ""gmao"" do you mean?"
"fssi | financial statement services inc , future social service institute , federal strategic sourcing initiative","Which ""fssi"" do you mean?"
"copt | corporate office properties trust , council on police training , community outreach programme trust","Which ""copt"" do you mean?"
"how to self publish | novel , poetry , short stories",What genre are you looking for?
"pediatrics east | bartlett , office providers , insurance , our location",What do you want to know about pediatrics east?
"dallas cowboys defense | dallas cowboys defense roster , stats",What team information are you looking for?
"stdb | site to do business , stereo tube direct box , short term disability bank","Which ""stdb"" do you mean?"
"walipini greenhouse | construction , design",What service are you looking for?
"dyno nobel | dyno nobel careers , dyno nobel logo",What would you like to know about dyno nobel?
"spring arbor university | jobs , bookstore , spring arbor university tuition",What would you like to know about this university?
"nsgo | national sea grant office , nordic society of gynaecological oncology , nursing shared governance organization","Which ""nsgo"" do you mean?"
"cmsa | case management society of america , consolidated metropolitan statistical area","Which ""cmsa"" do you mean?"
"hollywood south carolina | homes for sale , zip code , news , population",What would you like to know about this city?
"ck lab test | high , low",Which one are you looking for?
"zpd | zone of proximal development , zootopia police department","Which ""zpd"" do you mean?"
"visual c++ redistributable | windows 10 , windows 8 , windows 7 , windows xp",What version of Windows are you looking for?
"ccam | congenital cystic adenomatoid malformation , certified community association manager , commonwealth center for advanced manufacturing","Which ""ccam"" do you mean?"
"ggr | gastroenterology group of roch , golden globe race","Which ""ggr"" do you mean?"
"mced | ministerial conference on environment and development , middle childhood education degree","Which ""mced"" do you mean?"
"rstp | rapid spanning tree protocol , regional surface transportation program","Which ""rstp"" do you mean?"
"gsap | grid services access point , green star accredited professional , generic software architecture for prognostics","Which ""gsap"" do you mean?"
"vpna | veteran's park neighborhood association , verace pizza napoletana association , valeant pharmaceutical north america","Which ""vpna"" do you mean?"
"format painter word | word 2016 , word 2010 , word 2013",What version of Word are you looking for?
"what does nya mean | national youth administration , national youth alliance , national youth agency","Which ""nya"" do you mean?"
"marion ohio | marion ohio zip code , marion ohio weather , marion ohio population , what time is it in marion ohio",What would you like to know about this city?
"poac | parents of autistic children , professional outplacement assistance center , principle of atom conservation","Which ""poac"" do you mean?"
"vgis | visual geographic information system , victorian geospatial information strategy , variable geometric intake solenoid","Which ""vgis"" do you mean?"
"lsta | library services and technology act , lead sheet training academy , lone star tangible assets","Which ""lsta"" do you mean?"
"windows edge update | download , uninstall",What are you trying to do?
"rtor | resources to recover , real time operating room , right turn on red","Which ""rtor"" do you mean?"
"how to delete amazon prime | books , movies",What type of media are you looking for?
"apz | accident potential zones , allows panning and zooming , akademski pevski zbor","Which ""apz"" do you mean?"
"sdmi | steinberg diagnostic medical imaging , secure digital music initiative , sustainable development and management international","Which ""sdmi"" do you mean?"
"ch50 | high , low",Which one are you looking for?
"covs | clinical outcome variables scale , committee overseeing volunteer services","Which ""covs"" do you mean?"
"fty | first time yield , final test yield","Which ""fty"" do you mean?"
"250 dirt bikes for sale | craigslist , ebay",What marketplace are you looking for?
"yoshi's woolly world | walkthrough , wii , review , videos",What would you like to know about this game?
"ruislip lido railway | operations , permanent way , history",What do you want to know about ruislip lido railway?
"two worlds 2 | two worlds 2 cheats , review , gameplay",What would you like to know about this game?
"cecon | interactions , overdose , precautions , side effects , uses",What do you want to know about this medication?
"santa fe importers | salads , cold sandwiches , hot sandwiches , pizza , pizza",What do you want to know about this restaurant?
"fs2 | fox sports 2 , free style 2 , freestyle specialist 2","Which ""fs2"" do you mean?"
"omrr | ozark mountain ridge runners , organic matter recycling regulation","Which ""omrr"" do you mean?"
"firmware | firmware windows 10 , windows 7 , windows 8 , windows vista",What version of Windows are you looking for?
"upgrading from windows 7 to windows 10 | lenovo , dell , on hp",What brand of PC are you looking for?
"turistas | turistas cast , turistas dvd , turistas trailer , turistas blu ray",What would you like to know about turistas?
"pfmd | pacific funding mortgage division , patient focused medicines development , park facility management division","Which ""pfmd"" do you mean?"
"qpt | quantum phase transition , qualified phlebotomy technician , quiet power technology","Which ""qpt"" do you mean?"
"satw | scandinavia and the world , spacers and thrust washers","Which ""satw"" do you mean?"
"clash of clans apk | download , update",What are you trying to do?
"uninstall programs windows | 10 , 8 , 7 , uninstall programs windows vista , uninstall programs windows xp",What version of Windows are you looking for?
"names that start with i | boy , girl",What gender is this for?
"intestinal flukes | differential diagnosis , follow-up , medication , presentation , presentation",What do you want to know about this condition?
"quickstart guide | relevance , requirements , background",What do you want to know about quickstart guide?
"bty | boutique to you , better than yesterday","Which ""bty"" do you mean?"
"financial aid login | uci , ucsb",What school are you looking for?
"bvsm | bio velocity sleep mate , baby virgo shocking mister , backing vocalists and session musicians","Which ""bvsm"" do you mean?"
"women and education | 20th century , 21st century",What century are you looking for?
"nossa | naval ordnance safety and security activity , national organization of short statured adults","Which ""nossa"" do you mean?"
"greater boston food bank | mission , history",What do you want to know about the organization?
"run a full system scan | windows defender , mcafee , malwarebytes , norton",What antivirus are you looking for?
"kaf | king arthur flour , kaleidoscope arts foundation","Which ""kaf"" do you mean?"
"eclo | eye clinic liaison officer , eu competition law online","Which ""eclo"" do you mean?"
"ps4 windows | ps4 windows 10 , ps4 windows 8 , ps4 windows 7 , windows vista",What version of Windows are you looking for?
"our generation ice cream truck | craigslist , ebay",What marketplace are you looking for?
"iowa park texas | zip code , homes for sale , population , weather",What would you like to know about this city?
"richland college | richland college bookstore , richland college library , richland college tuition",What would you like to know about this university?
"rodmarton manor | gardens , house , history",What do you want to know about the park?
"private network | windows 10 , windows 8 , windows 7 , windows vista",What version of Windows are you looking for?
"acfi | aged care funding instrument , associate certified forensic interviewer , alliance cultural foundation international","Which ""acfi"" do you mean?"
"sapro | south african plastics recycling organisation , scenis advertising promo resolving operative","Which ""sapro"" do you mean?"
"nnll | north natomas little league , normalized negative log likelihood","Which ""nnll"" do you mean?"
"durrie vision | specialty , ophthalmology , provider",What do you want to know about durrie vision?
"conjugate ser | past , present",What tense are you looking for?
"planet powersports | shops photo , local map , services , business information",What do you want to know about this business?
"sson | shared services and outsourcing network , sierra stars observatory network , senior surfers online newsletter","Which ""sson"" do you mean?"
"rpsi | railway preservation society of ireland , retirement plan solutions inc","Which ""rpsi"" do you mean?"
"copaa | council of parent attorneys and advocates , consortium of practicing and applied anthropology","Which ""copaa"" do you mean?"
"cccd | child care career development , care coordination claims data","Which ""cccd"" do you mean?"
"cica | competition in contracting act , confederation of international contractors' association","Which ""cica"" do you mean?"
"cystoid macular degeneration | causes , treatment",What do you want to know about this condition?
"idma | international dance music awards , indian digital marketing awards , insurance data management association","Which ""idma"" do you mean?"
"sullivan buses | depot , fleet , history",What do you want to know about sullivan buses?
"swbs | ship work breakdown system , satori wealth building system , somebody wanted but so","Which ""swbs"" do you mean?"
"portside pirates | portside pirates lyrics , portside pirates chords",What song information are you looking for?
"d'agostino | d'agostino family , people , science",What do you want to know about the surname?
"pucs | pop up coffee stop , property use classification system , propellant utilization control system","Which ""pucs"" do you mean?"
"hbn | health building notes , healthy building network , hospitality business network","Which ""hbn"" do you mean?"
"how to make histogram in excel | excel 2007 , how to make histogram in excel 2010 , excel 2013 , how to make histogram in excel 2016",What version of Excel are you looking for?
"protein levels | high , low",Which one are you looking for?
"hypervolemic hyponatremia | causes , treatment",What do you want to know about this condition?
"gamora costume | gamora costume for women , girls",Who are you shopping for?
"golden gate regional center | specialty , pediatrics , family medicine , provider",What do you want to know about golden gate regional center?
"kids for character choices count | vhs , dvd",What format are you looking for?
"amdd | addictive and mental disorders division , asean medical device directive","Which ""amdd"" do you mean?"
"wesleyan university | wesleyan university acceptance rate , wesleyan university tuition , football",What would you like to know about this university?
"red bank middle school | football , softball",What sport are you looking for?
"iql | institute for quality leadership , information quality level , interactive query language","Which ""iql"" do you mean?"
"indiana bat | indiana bat facts , indiana bat images , indiana bat scientific name , indiana bat life cycle",What would you like to know about indiana bat?
"old yeller film | cast , summary , dvd , songs , trailer",What would you like to know about this movie?
"immature platelet fraction | high , low",Which one are you looking for?
"pbq | pokemon battle quest , patient benefit questionnaire , painted bride quarterly","Which ""pbq"" do you mean?"
"la esquina | coffee , sodas , aguas frescas , soup , salad",What do you want to know about this restaurant?
"undertale minecraft skins | frisk , papyrus , sans",What font are you looking for?
"addenbrooke's hospital | open days , services , transport",What do you want to know about the hospital?
"mrdt | municipal and regional district tax , mortality rate doubling time , malaria rapid diagnostic tests","Which ""mrdt"" do you mean?"
"hp hardware diagnostics windows | hp hardware diagnostics windows 10 , hp hardware diagnostics windows 8 , hp hardware diagnostics windows 7 , windows vista",What version of Windows are you looking for?
"iopa | internet of protocols alliance , islands organic producers association , internal oversight and performance assurance","Which ""iopa"" do you mean?"
"aarr | aids and related research , aktiebolaget atomenergi research reactor , annual aggregate revenue requirement","Which ""aarr"" do you mean?"
"ice skating | how to learn ice skating , dress for ice skating",What do you want to do with ice skating?
"caroli disease | cause , diagnosis , living with , prognosis , prognosis",What do you want to know about this condition?
"isrc | international standard recording code , interactive systems research center , immigrant student resource center","Which ""isrc"" do you mean?"
"jackson georgia | jackson georgia zip code , homes for sale , jackson georgia population",What would you like to know about this city?
"nbf | national business furniture , national bank financial , nordic business forum","Which ""nbf"" do you mean?"
"csir | council of scientific and industrial research , chemistry software and information resources , crowd sourced incident reporting","Which ""csir"" do you mean?"
"dssn | distributed surveillance sensor network , disbursing station symbol number , down syndrome society of nepal","Which ""dssn"" do you mean?"
"bulleted list | cite a bulleted list , make a bulleted list",What do you want to do with a bulleted list?
"barney's adventure bus | dvd , vhs",What format are you looking for?
"pulaski virginia | education , geography , recreation",What do you want to know about the town?
"facebook privacy settings | change facebook privacy settings , lock down facebook privacy settings",What do you want to do with facebook privacy settings?
"diw | department of industrial works , division of indian work , direct inside wire","Which ""diw"" do you mean?"
"huffman texas | population , zip code , homes for sale , news",What would you like to know about this city?
"bica | building industry credit association , botswana institute of chartered accountants , biblical institute of central america","Which ""bica"" do you mean?"
"yaf | young americans for freedom , young americas foundation , young architects forum","Which ""yaf"" do you mean?"
"cambridge college | cambridge college acceptance rate , cambridge college jobs , cambridge college tuition",What would you like to know about this university?
"autocad 2010 | 64 bit , 32 bit",What system type are you looking for?
